text,num,gender,f_form,fname,m_form
Березин,4983,m,Березина,,
Бондарь,4967,u,,,
Архипова,4958,f,,Архип,Архипов
Владимиров,4957,m,Владимирова,Владимир,
Свиридов,4955,m,Свиридова,Свирид,
Седов,4950,m,Седова,,
Горохов,4935,m,Горохова,,
Шевцов,4926,m,Шевцова,,
Митрофанов,4924,m,Митрофанова,Митрофан,
Дементьев,4916,m,Дементьева,,
Абдуллаев,4915,m,Абдуллаева,,
Капустин,4903,m,Капустина,,
Федосеев,4898,m,Федосеева,,
Назаренко,4889,u,,,
Сысоев,4887,m,Сысоева,,
Рамазанов,4887,m,Рамазанова,Рамазан,
Субботин,4883,m,Субботина,,
Рыжов,4874,m,Рыжова,,
Чирков,4864,m,Чиркова,,
Курочкин,4857,m,Курочкина,,
Панин,4851,m,Панина,,
Рубцов,4844,m,Рубцова,,
Савина,4829,f,,,Савин
Суслов,4820,m,Суслова,,
Юдина,4814,f,,,Юдин
Завьялов,4811,m,Завьялова,,
Богомолов,4795,m,Богомолова,,
Афонин,4795,m,Афонина,,
Еременко,4794,u,,,
Олейник,4780,u,,,
Демченко,4779,u,,,
Султанов,4777,m,Султанова,Султан,
Овсянников,4776,m,Овсянникова,,
Солдатов,4775,m,Солдатова,,
Литвиненко,4774,u,,,
Селиванов,4769,m,Селиванова,Селиван,
Бирюкова,4768,f,,,Бирюков
Швецов,4758,m,Швецова,,
Зиновьев,4757,m,Зиновьева,,
Корниенко,4753,u,,,
Веселов,4753,m,Веселова,,
Михеева,4752,f,,,Михеев
Усов,4747,m,Усова,,
Федоренко,4745,u,,,
Шадрин,4737,m,Шадрина,,
Крючков,4727,m,Крючкова,,
Харитонова,4721,f,,Харитон,Харитонов
Уткин,4713,m,Уткина,,
Носков,4704,m,Носкова,,
Бабаев,4701,m,Бабаева,,
Кабанов,4692,m,Кабанова,,
Яковенко,4691,u,,,
Денисенко,4684,u,,,
Панова,4679,f,,,Панов
Коршунов,4672,m,Коршунова,,
Литвинова,4647,f,,,Литвинов
Ширяев,4623,m,Ширяева,,
Уваров,4616,m,Уварова,Увар,
Москаленко,4613,u,,,
Нефедов,4606,m,Нефедова,Нефед,
Парфенов,4592,m,Парфенова,Парфен,
Демидова,4591,f,,Демид,Демидов
Алиева,4591,f,,,Алиев
Евдокимова,4589,f,,Евдоким,Евдокимов
Корнилов,4586,m,Корнилова,Корнил,
Елисеева,4578,f,,,Елисеев
Третьякова,4575,f,,,Третьяков
Ершова,4565,f,,,Ершов
Сергиенко,4563,u,,,
Цветкова,4557,f,,,Цветков
