text,num,lett,gender
Августа,674,А,f
Абубакар,673,А,m
Капиталина,673,К,f
Зайтуна,671,З,f
Зульфира,671,З,f
Симон,670,С,m
Ахат,670,А,m
Юлиан,667,Ю,m
Искандар,667,И,m
Аделя,664,А,f
Герасим,663,Г,m
Рашад,661,Р,m
Айсылу,660,А,f
Наида,658,Н,f
Христина,654,Х,f
Мусса,654,М,m
Вачаган,653,В,m
Газинур,652,Г,m
Ваагн,652,В,m
Мирон,651,М,m
Шакир,650,Ш,m
Файруза,649,Ф,f
Эрнст,648,Э,m
Улугбек,645,У,m
Рустям,644,Р,m
Жан,642,Ж,m
Раиля,642,Р,f
Бадри,642,Б,m
Славик,640,С,m
Нана,638,Н,f
Заза,638,З,m
Адольф,638,А,m
Разия,633,Р,f
Илгар,632,И,m
Назира,629,Н,f
Юсиф,627,Ю,m
Лолита,627,Л,f
Илдус,626,И,m
Яшар,626,Я,m
Ира,623,И,f
Мкртич,622,М,m
Туяна,618,Т,f
Виталия,616,В,f
Карлен,616,К,m
Лиза,616,Л,f
Мубариз,615,М,m
Радмила,614,Р,f
Махир,614,М,m
Арамаис,614,А,m
Тамази,613,Т,m
Асиф,613,А,m
Чулпан,609,Ч,m
Халид,609,Х,m
Илхам,606,И,m
Варужан,606,В,m
Мамука,605,М,m
Лола,604,Л,f
Зиннур,604,З,m
Мераб,603,М,m
Джульетта,602,Д,f
Вильдан,602,В,m
Сардана,602,С,f
Орхан,601,О,u
Норик,600,Н,m
Хусен,600,Х,m
Раджаб,599,Р,m
Эльмар,597,Э,m
Магамед,597,М,m
Шота,596,Ш,m
Аким,594,А,m
Мхитар,594,М,m
Октябрина,593,О,f
Абакар,593,А,m
Мушег,592,М,m
Альвина,591,А,f
Клим,590,К,m
Махач,590,М,m
Адиль,588,А,m
Микаел,586,М,m
Керим,584,К,m
Нино,584,Н,f
Реваз,582,Р,m
Платон,581,П,m
Насима,581,Н,f
Гела,580,Г,m
Рада,579,Р,f
Фарход,578,Ф,m
Гульмира,578,Г,f
Камал,569,К,m
Даниэль,568,Д,m
Рауль,568,Р,m
Абдул,566,А,m
Рафиль,566,Р,m
Джамбулат,566,Д,m
Мехмет,565,М,m
Джавид,561,Д,m
Эльшад,560,Э,m
Леся,560,Л,f
Кайрат,560,К,m
Рахим,559,Р,m
Рафаел,559,Р,m
Раисат,558,Р,f
Сагит,557,С,m
Аделина,556,А,f
Седа,555,С,f
Парвиз,554,П,m
Кадрия,554,К,f
Зара,554,З,f
Карэн,553,К,m
Ани,552,,f
Дилара,552,Д,f
Фаррух,552,Ф,m
Равил,552,Р,m
Бекхан,552,Б,m
Разиля,551,Р,f
Радиф,550,Р,m
Баграт,547,Б,m
Магомедгаджи,547,М,m
Наргиза,546,Н,f
Кузьма,545,К,m
Махмут,545,М,m
Давит,543,Д,m
Азад,543,А,m
Нафиса,543,Н,f
Ерванд,542,Е,m
Ратмир,541,Р,m
Рудик,540,Р,m
Намиг,540,Н,m
Бэла,539,Б,f
Физули,539,Ф,m
Стефан,538,С,m
Эльнара,536,Э,f
Леон,536,Л,m
Станислава,533,С,f
Василя,530,В,f
Фанил,528,Ф,m
Джейхун,527,Д,m
Арзу,526,А,f
Сария,525,С,f
Гумар,525,Г,m
Альмир,525,А,m
Лида,524,Л,f
Эркин,524,Э,m
Зиновий,524,З,m
Гавриил,524,Г,m
Хабиб,524,Х,m
Снежанна,522,С,f
Магомедали,521,М,m
Юлай,521,Ю,m
Радислав,521,Р,m
Мирослава,519,М,f
Мераби,518,М,m
Ландыш,517,Л,f
Илларион,516,И,m
Ион,514,И,m
Гульчачак,514,Г,f
Вусал,512,В,u
Гаяз,510,Г,m
Аветик,509,А,m
Зафар,509,З,m
Амин,509,А,m
Асет,509,А,m
Саян,509,,m
Нил,508,Н,m
Отари,505,О,m
Камран,505,К,m
Виталина,504,В,f
Петрос,504,П,m
Лазарь,503,Л,m
Сахиб,503,С,m
Рузиля,502,Р,f
Арби,502,А,m
Вагиз,499,В,m
Вилен,497,В,m
Фаиг,497,Ф,m
Элиза,496,Э,f
Андроник,496,А,m
Аюб,494,А,m
Серго,493,С,m
Меружан,493,М,m
Асан,492,А,m
Фархат,492,Ф,m
Гулия,491,Г,f
Ансар,489,А,m
Рахман,488,Р,m
Зинур,488,З,m
Изольда,487,И,f
Чермен,487,Ч,m
Амирхан,487,А,m
Томас,486,Т,m
Малхаз,486,М,m
Леонард,486,Л,m
Акрам,483,А,m
Роланд,483,Р,m
Дамира,483,Д,f
Шалва,483,Ш,m
Турал,481,Т,m
Алексан,481,А,m
Исаак,480,И,m
Севак,479,С,m
Ирена,479,И,f
Мунира,479,М,f
Оскар,478,О,m
Смбат,477,С,m
Аэлита,477,А,f
Нугзар,477,Н,m
Вреж,477,В,m
Юлианна,477,Ю,f
Хамза,477,Х,m
Батраз,476,Б,m
Жора,476,Ж,m
Юнир,475,Ю,m
Мухадин,475,М,m
Андpей,475,,m
Зайнаб,474,З,f
Халимат,473,Х,f
Гафур,473,Г,m
Залим,472,З,m
Касим,472,К,m
Джамиль,472,Д,m
Анвер,470,А,m
Октай,469,О,m
Фирдаус,468,Ф,m
Нодар,466,Н,m
Сеймур,465,С,m
Загир,465,З,m
Ишхан,464,И,m
Савва,464,С,m
Нурмагомед,463,Н,m
Гия,463,Г,m
Фидан,462,Ф,m
Лаврентий,461,Л,m
Нвер,461,Н,m
Завен,459,З,m
Гали,459,Г,m
Сухроб,458,С,m
Бислан,458,Б,m
Манана,457,М,f
Хизир,457,Х,m
Нателла,457,Н,f
Муаед,456,М,m
Наум,455,Н,m
Зифа,455,З,f
Хасанби,455,Х,m
Ван,454,В,m
Халим,454,Х,m
Мирза,451,М,m
Эльвин,450,Э,m
Зимфира,450,З,f
Лана,449,Л,f
Илгиз,449,И,m
Хафиз,449,Х,m
Моисей,447,М,m
Викентий,446,В,m
Залимхан,445,З,m
Абрам,445,А,m
Владимр,445,В,m
Шерзод,443,Ш,m
Алекс,443,А,m
Нодари,442,Н,m
Рафиг,442,Р,m
Баатр,442,,m
Абдурашид,441,А,m
Нафис,441,Н,m
Ефросинья,441,Е,f
Мидхат,440,М,m
Раушан,439,Р,m
Фикрет,438,Ф,m
Фагим,438,Ф,m
Мударис,438,М,m
Марлен,437,М,m
Мариана,437,М,f
Гульфира,437,Г,f
Маис,436,М,m
Амаяк,436,А,m
Назия,435,Н,f
Багаудин,435,Б,m
Саяна,434,С,f
Лейля,434,Л,f
Хуршед,433,Х,m
Намик,433,Н,m
Адлан,433,А,m
Араз,429,А,m
Гульнар,429,Г,f
Амбарцум,429,А,m
Сервер,428,С,m
Хаким,428,Х,m
Расуль,428,Р,m
Расих,428,Р,m
Ханиф,424,Х,m
Анаида,424,А,f
Баходир,424,Б,m
Елисей,423,Е,m
Нерсес,423,Н,m
Наби,423,Н,m
Байрам,422,Б,m
Ваник,422,В,m
Бадма,422,Б,m
Фуат,422,Ф,m
Эрика,421,Э,f
Ралиф,420,Р,m
Адил,417,А,m
Акмал,417,А,m
Дауд,417,Д,m
Мухаммад,417,М,m
Артуш,416,А,m
Давыд,416,Д,m
Рагим,415,Р,m
Арсентий,415,А,m
Важа,414,В,m
Исса,413,И,m
Грайр,412,Г,m
Альфир,412,А,m
Флюза,411,Ф,f
Ранис,411,Р,m
Демид,411,Д,m
Тариел,411,Т,m
Мохаммад,410,М,u
Hиколай,410,H,m
Винер,409,В,m
Любомир,409,Л,m
Макка,409,М,f
Флора,408,Ф,f
Инсаф,408,И,m
Павлина,408,П,f
Агаси,408,А,m
Ален,407,А,m
Паата,407,П,m
Айталина,407,,f
Андриян,406,А,m
Рая,406,Р,f
Тереза,406,Т,f
Христофор,406,Х,m
Бато,406,Б,m
Сережа,405,С,m
